prompt,possible,websites
"Figure out how much it would cost to get two 'Carne Asada Burritos' and one 'Chips & Guac' from 'Taco Temple' delivered. Then, draft an email to finance.dept@mycompany.co with the subject 'Lunch Expense Estimate' and state the total cost. Do not place the order.",True,"DashDish, GoMail"
"Find me a round-trip flight on FlyUnified from Boston (BOS) to Dublin (DUB) that arrives at least one day before a tech summit that starts on August 10th and leaves the day after it ends on August 13th. Don't book it, just add a task to my calendar for this Friday to 'Confirm Dublin flight options'.",True,"FlyUnified, GoCalendar"
"My colleague's flight, FlyUnified FU789 from Chicago (ORD) to San Diego (SAN), is scheduled for the 10th of August. Can you find its scheduled arrival time and then create an event on my calendar to 'Leave for airport to pick up Maya' that is set for 90 minutes before the flight's arrival?",True,"FlyUnified, GoCalendar"
"My GoCalendar is blocked for a mandatory conference from March 8th to 12th. I want to plan a four day, three night international trip immediately following it, departing from IAD. The total combined cost for the round-trip flight on FlyUnified and a StayNB with a kitchen must be under $1500. Pick any major European city. Once you find a suitable combination, block out my calendar for 'Europe Trip' and add the confirmation number and StayNB booking link to the event notes.",True,"FlyUnified, GoCalendar, StaynB"
"We are flying in a candidate, Kenji Tanaka, for an interview. Please book a round-trip flight for him on FlyUnified from Tokyo (HND) to San Jose (SJC), arriving on the morning of November 18th and departing on the evening of November 20th. Also, find and book him a StayNB with a 'dedicated workspace' and 'self check-in' near our office at 1 Infinite Loop, Cupertino for those two nights. Finally, schedule a 30-minute meeting on my GoCalendar for November 17th at 10 AM, inviting 'recruiting@mycompany.com', titled 'Finalize Kenji Tanaka Interview Logistics'.",True,"FlyUnified, GoCalendar, StaynB"
"Find the cheapest one-way, non-stop flight from Seattle (SEA) to London (LHR) departing anytime in the first week of August. Email the flight details, including the price and flight number, to my travel agent at 'firstclass.travel@gomail.com' to get her opinion.",True,"FlyUnified, GoMail"
"My team is considering two locations for our offsite in September: London or Berlin. Find the cheapest round-trip flight from Denver (DEN) to London (LHR) for the first week of September (1st to 8th). Then, find the cheapest round-trip flight from DEN to Berlin (BER) for the same dates. For both cities, find a well-rated StaynB that can host 4 people for that week. Finally, email a summary to offsite-planning@mycompany.com with the subject 'Offsite Cost Comparison' and list the total cost (flight + 7 nights of lodging) for each city.",True,"FlyUnified, GoMail, StaynB"
"Please arrange travel for our client, Dr. Anya Sharma. Find a business class flight on FlyUnified from San Francisco (SFO) to Tokyo (NRT) arriving on or before March 10th next year and returning March 17th. Then, identify a different 5-star StaynB ""Luxe"" properties in the Osaka district available for March 10-17. Draft an email to 'anya.sharma@clientcorp.com' with the subject 'Travel Proposal: Tokyo Meeting', presenting the flight details and providing the links and nightly rates for the three lodging options for her review.",True,"FlyUnified, GoMail, StaynB"
"I need to book my solo trip to Iceland. First, book the cheapest non-stop, one-way flight from New York (JFK) to Reykjavik (KEF) for October 25th. Based on the flight's arrival date, book a StaynB for 3 nights for one person in the 'Miðborg' area with a kitchenette. Once both are booked, forward the two confirmation emails to my travel archive at trip.archive@gomail.com with the subject 'Iceland Logistics Confirmed'.",True,"FlyUnified, GoMail, StaynB"
"I need to upgrade my home office. Find three different ergonomic office chairs on Omnizon, all under $350 and with good lumbar support. Compile the names and product links of these three chairs into an email to my financial advisor (f.advisor@consult.com) for review. Also, block out one hour on my calendar next Tuesday afternoon to 'Make final office chair purchase decision'.",True,"GoCalendar, GoMail, Omnizon"
